lpa_curie,lpa_name,doc_reference,doc_name,doc_types,file_kind,final_url,landing_url,status,content_type,entry_date,local_plan
,,merton-local-plan-2024-2037-38,Merton Local Plan 2024 – 2037/38,local-plan,unknown,,https://www.merton.gov.uk/planning-and-buildings/planning/local-plan/newlocalplan/whole-local-plan,0,,,local-plan-2020
,,new-local-plan-issues-options-regulation-18,New Local Plan - Issues & Options (Regulation 18),local-plan,html,,https://harborough.oc2.uk/document/58/5666#topofdoc,200,text/html,,harborough-new-local-plan-2020-2041
,,planning-for-schools-dpd,Planning for Schools DPD,,pdf,https://www.ealing.gov.uk/download/downloads/id/19451/planning_for_schools_dpd.pdf,https://www.ealing.gov.uk/info/201162/planning_policy/3124/development_plan,200,application/pdf,,development-strategy-2026
,,policies-map,Policies Map,policies-map,image,https://www.greatermanchester-ca.gov.uk/media/9567/pfe-policies-map-as-presented-to-council-meetings.jpeg,https://www.greatermanchester-ca.gov.uk/what-we-do/planning-and-housing/places-for-everyone/pfe-adoption/,200,image/jpeg,,greater-manchester-spatial-framework-superseded-by-pep
,,policies-maps,Policies Maps,policies-map,landing,,https://www.centralbedfordshire.gov.uk/info/153/central_bedfordshire_local_plan_2015_to_2035/1034/adopted_local_plan,0,,,central-bedfordshire-council-local-plan-2015
,,proposals-map,Proposals Map,policies-map,html,,https://www.canterbury.gov.uk/planning-and-building/planning-policies/adopted-local-plan,200,text/html,,canterbury-district-local-plan
,,proposed-policies-map-january-2023,Proposed Policies Map January 2023,policies-map,pdf,https://lewisham.gov.uk/-/media/reg-19-proposed-policies-map-accessible.pdf,https://lewisham.gov.uk/myservices/planning/policy/planning/current-and-future-consultations,200,application/pdf,,london-borough-of-lewisham-local-plan-2020
,,report-on-the-examination-of-the-central-bedfordshire-local-plan,Report on the Examination of the Central Bedfordshire Local Plan,inspectors-report,landing,,https://www.centralbedfordshire.gov.uk/info/153/central_bedfordshire_local_plan_2015_to_2035/1034/adopted_local_plan,0,,,central-bedfordshire-council-local-plan-2015
,,strategic-policies-spatial-strategy,Strategic Policies: Spatial Strategy,policies-map,html,,https://harborough.oc2.uk/document/58/5666#topofdoc,200,text/html,,harborough-new-local-plan-2020-2041
,,sustainability-and-equalities-impact-appraisal-december-2017-eb204,"Sustainability and Equalities Impact Appraisal, December 2017 (EB204)",sustainability-appraisal,pdf,https://www.eppingforestdc.gov.uk/app/uploads/2024/02/EB204-Sustainability-and-Equalities-Impact-Appraisal-AECOM-December-2017.pdf,https://www.eppingforestdc.gov.uk/planning-and-building/planning-policy/adopted-local-plan-march-2023/,200,application/pdf,,epping-forest-district-local-plan
,,sustainability-appraisal,Sustainability Appraisal,sustainability-appraisal,html,,https://www.birmingham.gov.uk/downloads/download/1139/adopted_birmingham_development_plan,403,text/html,,the-birmingham-plan-bdp-update
,,sustainability-appraisal-report-addendum-june-2021-ed128-eb210,"Sustainability Appraisal Report Addendum, June 2021 (ED128/ EB210)",sustainability-appraisal,pdf,https://www.eppingforestdc.gov.uk/app/uploads/2024/02/EB210-Epping-Forest-District-Sustainability-Report-Addendum-June-2021.pdf,https://www.eppingforestdc.gov.uk/planning-and-building/planning-policy/adopted-local-plan-march-2023/,200,application/pdf,,epping-forest-district-local-plan
,,sustainability-appraisal-report-addendum-october-2022-ed148-eb214-pdf,Sustainability Appraisal Report Addendum October 2022 (ED148 / EB214) (pdf ),sustainability-appraisal,pdf,https://www.eppingforestdc.gov.uk/app/uploads/2024/07/ED148-Sustainability-Appraisal-Addendum-Oct-22.pdf,https://www.eppingforestdc.gov.uk/planning-and-building/planning-policy/adopted-local-plan-march-2023/,200,application/pdf,,epping-forest-district-local-plan
,,the-castle-point-local-plan-2023-43-issues-options-consultation,The Castle Point Local Plan 2023-43 - Issues & Options Consultation,local-plan,pdf,https://consultation.castlepoint.gov.uk/planning/castle-point-plan-issues-and-options/user_uploads/issues-and-options-consultation-document-final.pdf,https://consultation.castlepoint.gov.uk/planning/castle-point-plan-issues-and-options/,200,application/pdf,,the-castle-point-plan
,,broxbourne-borough-council-local-plan-2018-6,Inspector's Final Report,inspectors-report,pdf,https://www.broxbourne.gov.uk/downloads/file/924/broxbourne-lp-report-final,https://www.broxbourne.gov.uk/planning/local-plan-2018-2033,200,application/pdf,,broxbourne-borough-council-local-plan-2018
,,broxbourne-borough-council-local-plan-2018-8,Policies Map (JPEG),policies-map,image,https://www.broxbourne.gov.uk/downloads/file/930/local-plan-policies-map-june-2020-jpeg,https://www.broxbourne.gov.uk/planning/local-plan-2018-2033,200,image/jpeg,,broxbourne-borough-council-local-plan-2018
,,broxbourne-borough-council-local-plan-2018-1,The Broxbourne Local Plan,local-plan,pdf,https://www.broxbourne.gov.uk/downloads/file/1813/local-plan-2018-2033,https://www.broxbourne.gov.uk/planning/local-plan-2018-2033,200,application/pdf,,broxbourne-borough-council-local-plan-2018
,,adoption-statement-oldham-metropolitan-borough-council-local-plan-2011,Adoption statement,adoption-statement,doc,https://www.oldham.gov.uk/download/downloads/id/1444/adoption_statement.doc,https://www.oldham.gov.uk/downloads/file/1444/adoption_statement,200,application/msword,,oldham-metropolitan-borough-council-local-plan-2011
,,cambridge-local-plan,Cambridge Local Plan,local-plan,pdf,https://www.cambridge.gov.uk/media/6890/local-plan-2018.pdf,https://www.greatercambridgeplanning.org/current-plans-and-guidance/#a1,200,application/pdf,,cambridge-local-plan
,,policies-map-barnsley-metropolitan-borough-council-local-plan-2019,Policies Map,policies-map,pdf,https://www.barnsley.gov.uk/media/17579/local-plan-adopted-policies-map.pdf,https://www.barnsley.gov.uk/services/planning-and-buildings/local-planning-and-development/our-local-plan/barnsleys-local-plan/,200,application/pdf,,barnsley-metropolitan-borough-council-local-plan-2019
,,policies-map-cannock-chase-district-council-local-plan-2006,Policies Map,policies-map,landing,,https://www.cannockchasedc.gov.uk/residents/planning-and-building-control/planning-policy/cannock-chase-local-plan,0,,,cannock-chase-district-council-local-plan-2006
,,policies-map-basingstoke-and-deane-borough-council-local-plan-2011,Policies Map,policies-map,unknown,,https://www.basingstoke.gov.uk/adopted-policies-map,0,,,basingstoke-and-deane-borough-council-local-plan-2011
,,adoption-statement-derby-city-local-plan-part-1-core-strategy,Adoption Statement,adoption-statement,pdf,https://www.derby.gov.uk/media/derbycitycouncil/contentassets/documents/environmentandplanning/planning/localplan/part1/DCC_Adoption_Statement_V2.pdf,,200,application/pdf,,derby-city-local-plan-part-1-core-strategy
,,local-development-scheme-sevenoaks-district-council-local-plan-2040,Local development scheme,local-development-scheme,pdf,https://www.sevenoaks.gov.uk/download/downloads/id/790/local_development_scheme.pdf,https://www.sevenoaks.gov.uk/downloads/file/790/local_development_scheme,200,application/pdf,,sevenoaks-district-council-local-plan-2040
,,local-development-scheme-trafford-local-plan,Local development scheme,local-development-scheme,pdf,https://www.trafford.gov.uk/planning/strategic-planning/docs/Local-Development-Scheme-October-2022.pdf,https://www.trafford.gov.uk/planning/strategic-planning/Other-Supporting-Documents/local-development-scheme.aspx,200,application/pdf,,trafford-local-plan
,,local-development-scheme-ashfield-local-plan-2023-2040,Local Development Scheme,local-development-scheme,unknown,,https://www.ashfield.gov.uk/planning-building-control/local-plan/emerging-local-plan,404,,,ashfield-local-plan-2023-2040
,,policies-map-mid-sussex-district-plan-2021-2039,Policies map,policies-map,html,,https://www.midsussex.gov.uk/planning-building/mid-sussex-district-plan/district-plan-review,200,text/html,,mid-sussex-district-plan-2021-2039
,,policies-map-bassetlaw-district-council-local-plan-2020,Policies Map,policies-map,unknown,,https://www.bassetlaw.gov.uk/planning-and-building/bassetlaw-local-plan-2020-2038/bassetlaw-local-plan-2020-2038-adoption/bassetlaw-local-plan-policies-map/,0,,,bassetlaw-district-council-local-plan-2020
,,bristol-development-framework-core-strategy,Bristol Development Framework Core Strategy,core-strategy;local-plan,pdf,https://www.bristol.gov.uk/files/documents/64-core-strategy-web-pdf-low-res-with-links/file,https://www.bristol.gov.uk/residents/planning-and-building-regulations/planning-policy-and-guidance/local-plan,200,application/pdf,,bristol-development-framework-core-strategy
,,adoption-statement-the-birmingham-plan-bdp-update,Adoption Statement,adoption-statement,html,,https://www.birmingham.gov.uk/downloads/download/1139/adopted_birmingham_development_plan,403,text/html,,the-birmingham-plan-bdp-update
,,places-for-everyone-joint-development-plan-document,Places for Everyone Joint Development Plan Document,local-plan,pdf,https://www.greatermanchester-ca.gov.uk/media/3ccbetc4/post-adoption-places-for-everyone-joint-development-plan.pdf,https://www.greatermanchester-ca.gov.uk/what-we-do/planning-and-housing/places-for-everyone/pfe-adoption/,200,application/pdf,,greater-manchester-spatial-framework-superseded-by-pep
,,local-development-scheme-the-barking-and-dagenham-local-plan-2037,Local development scheme,local-development-scheme,html,,https://www.lbbd.gov.uk/planning-building-control-and-local-land-charges/planning-guidance-and-policies/local-plan,200,text/html,,the-barking-and-dagenham-local-plan-2037
,,local-development-scheme-new-canterbury-district-local-plan-2020-2040,Local Development Scheme,local-development-scheme,pdf,https://www.canterbury.gov.uk/sites/default/files/2024-10/Local%20Development%20Scheme.pdf,https://www.canterbury.gov.uk/planning-and-building/new-local-plan/about-new-local-plan,200,application/pdf,,new-canterbury-district-local-plan-2020-2040
,,burnley-s-local-plan,Burnley's Local Plan,local-plan,pdf,https://burnley.gov.uk/wp-content/uploads/2022/04/Burnleys-Local-Plan-Adopted-Version-Final-With-erratum-28-Sep-2018.pdf,https://burnley.gov.uk/planning/planning-policies/burnleys-local-plan/,200,application/pdf,,burnley-s-local-plan
,,adoption-statement-central-bedfordshire-council-local-plan-2015,Adoption Statement,adoption-statement,landing,,https://www.centralbedfordshire.gov.uk/info/153/central_bedfordshire_local_plan_2015_to_2035/1034/adopted_local_plan,0,,,central-bedfordshire-council-local-plan-2015
,,policies-map-east,Policies Map - East,policies-map,pdf,https://burnley.gov.uk/wp-content/uploads/2022/02/Policies-Map-East-Web.pdf,https://burnley.gov.uk/planning/planning-policies/burnleys-local-plan/,200,application/pdf,,burnley-s-local-plan
,,policies-map-west,Policies Map - West,policies-map,pdf,https://burnley.gov.uk/wp-content/uploads/2022/02/New-Policies-Map-West-Web.pdf,https://burnley.gov.uk/planning/planning-policies/burnleys-local-plan/,200,application/pdf,,burnley-s-local-plan
,,policies-map-town-centre,Policies Map - Town Centre,policies-map,pdf,https://burnley.gov.uk/wp-content/uploads/2022/02/Burnley-Town-Centre-Inset-Web.pdf,https://burnley.gov.uk/planning/planning-policies/burnleys-local-plan/,200,application/pdf,,burnley-s-local-plan
,,part-2-local-plan,Part 2 Local Plan,local-plan,pdf,https://www.broxtowe.gov.uk/media/7088/part-2-local-plan-adopted-october-2019.pdf,https://www.broxtowe.gov.uk/for-you/planning/planning-policy/part-2-local-plan/,200,application/pdf,,broxtowe-borough-council-local-plan-part-2-2019
,,policies-map-town-centre-inset,Policies Map - Town Centre inset,policies-map,pdf,https://burnley.gov.uk/wp-content/uploads/2022/02/Padiham-Town-Centre-Inset-Web.pdf,https://burnley.gov.uk/planning/planning-policies/burnleys-local-plan/,200,application/pdf,,burnley-s-local-plan
,,broxtowe-borough-gedling-borough-nottingham-city-aligned-core-strategies-part-1-local-plan,Broxtowe Borough Gedling Borough Nottingham City Aligned Core Strategies Part 1 Local Plan,core-strategy;local-plan,pdf,https://www.broxtowe.gov.uk/media/2160/broxtowe-aligned-core-strategy.pdf,https://www.broxtowe.gov.uk/for-you/planning/planning-policy/part-1-local-plan-core-strategy/,200,application/pdf,,broxtowe-borough-council-local-plan-part-1-2014
,,bromsgrove-district-plan-2011-2030,Bromsgrove District Plan 2011-2030,local-plan,pdf,https://www.bromsgrove.gov.uk/media/samhiyxl/bromsgrove-district-plan-2011-2030.pdf,https://www.bromsgrove.gov.uk/council/policy/planning-policies-and-other-information/local-development-plan/the-bromsgrove-district-plan-2011-2030/adopted-bromsgrove-district-plan-2011-2030/,200,application/pdf,,bromsgrove-district-plan
,,greater-nottingham-strategic-plan-publication-draft-2024,Greater Nottingham Strategic Plan Publication Draft 2024,local-plan,pdf,https://www.gnplan.org.uk/media/qfihjw32/gnsp-reg-19-publication-draft-digital.pdf,https://www.gnplan.org.uk/consultations/,200,application/pdf,,greater-nottingham-strategic-plan
,,policies-map-bromsgrove-district-plan,Policies Map,policies-map,pdf,https://www.bromsgrove.gov.uk/media/d04lx4ao/policies-map.pdf,https://www.bromsgrove.gov.uk/council/policy/planning-policies-and-other-information/local-development-plan/the-bromsgrove-district-plan-2011-2030/adopted-bromsgrove-district-plan-2011-2030/,200,application/pdf,,bromsgrove-district-plan
,,local-plan-for-the-broads,Local Plan for the Broads,local-plan,pdf,https://www.broads-authority.gov.uk/__data/assets/pdf_file/0036/259596/Local-Plan-for-the-Broads.pdf,https://www.broads-authority.gov.uk/planning/planning-policies/local-plan-for-the-broads/current-local-plan-for-the-broads,403,text/html,,local-plan-for-the-broads
,,site-allocations-and-development-management-policies-local-plan,Site Allocations and Development Management Policies Local Plan,local-plan;site-allocations,pdf,https://www.bristol.gov.uk/files/documents/2235-site-allocations-bd5605/file,https://www.bristol.gov.uk/residents/planning-and-building-regulations/planning-policy-and-guidance/local-plan,200,application/pdf,,bristol-development-framework-core-strategy
,,site-allocations-and-development-management-policies-policies-map,Site Allocations and Development Management Policies POLICIES MAP,policies-map,pdf,https://www.bristol.gov.uk/files/documents/2237-policies-map-sept-14-bd5605/file,https://www.bristol.gov.uk/residents/planning-and-building-regulations/planning-policy-and-guidance/local-plan,200,application/pdf,,bristol-development-framework-core-strategy
,,bristol-local-plan-publication-version,Bristol Local Plan Publication Version,local-plan;local-plan-review,pdf,https://www.bristol.gov.uk/files/documents/6894-bristol-local-plan-main-document-publication-version-nov-2023/file,https://www.bristol.gov.uk/residents/planning-and-building-regulations/planning-policy-and-guidance/local-plan/local-plan-review,200,application/pdf,,bristol-local-plan-2022-2040
,,bristol-local-plan-annex-development-allocations,Bristol Local Plan Annex – Development Allocations,local-plan;local-plan-review;site-allocations,pdf,https://www.bristol.gov.uk/files/documents/6890-bristol-local-plan-annex-development-allocations/file,https://www.bristol.gov.uk/residents/planning-and-building-regulations/planning-policy-and-guidance/local-plan/local-plan-review,200,application/pdf,,bristol-local-plan-2022-2040
,,bristol-local-plan-policies-map,Bristol Local Plan Policies map,local-plan;local-plan-review;policies-map,pdf,https://www.bristol.gov.uk/files/documents/6891-bristol-local-plan-policies-map-publication/file,https://www.bristol.gov.uk/residents/planning-and-building-regulations/planning-policy-and-guidance/local-plan/local-plan-review,200,application/pdf,,bristol-local-plan-2022-2040
,,local-development-scheme-camden-local-plan-2026,Local development scheme,local-development-scheme,html,https://www.camden.gov.uk/documents/20142/4855432/2023+LDS+FINAL.pdf/50d11f59-5926-6d74-d380-1bc4a30d7133?t=1702459128479,,403,text/html,,camden-local-plan-2026
,,blackburn-with-darwen-borough-council-local-plan-2021-1,Blackburn with Darwen Local Plan 2021 to 2037,local-plan,pdf,https://blackburn-darwen.org.uk/wp-content/uploads/Blackburn-with-Darwen-Local-Plan-2021-2037.pdf,https://www.blackburn.gov.uk/planning/planning-policies-strategies-and-guides/local-plan-2021-2037,200,application/pdf,,blackburn-with-darwen-borough-council-local-plan-2021
,,blackburn-with-darwen-borough-council-local-plan-2021-2,Blackburn with Darwen Local Plan 2021 to 2037 Policies Map Blackburn Section,policies-map,pdf,https://blackburn-darwen.org.uk/wp-content/uploads/Local-Plan-Policies-Map-Blackburn-Section-1.pdf,https://www.blackburn.gov.uk/planning/planning-policies-strategies-and-guides/local-plan-2021-2037,200,application/pdf,,blackburn-with-darwen-borough-council-local-plan-2021
,,blaby-district-council-local-plan-2019-2,Adopted Map 1 Central District Policies Map,policies-map,pdf,https://www.blaby.gov.uk/media/4wylvqz3/map-1-central-district-policies-map.pdf,https://www.blaby.gov.uk/planning-and-building/local-plan/local-plan-delivery-dpd/,200,application/pdf,,blaby-district-council-local-plan-2019
,,blaby-district-council-local-plan-2019-3,Adopted Maps 2 and 3 West and East District Policies Map,policies-map,pdf,https://www.blaby.gov.uk/media/2725/maps-2-and-3-west-and-east-district-policies-map.pdf,https://www.blaby.gov.uk/planning-and-building/local-plan/local-plan-delivery-dpd/,200,application/pdf,,blaby-district-council-local-plan-2019
,,blaby-district-council-local-plan-2019-4,Adopted Maps 4 and 5 Inset Maps for Blaby Town Centre and Glenfield District Centre,policies-map,pdf,https://www.blaby.gov.uk/media/2724/maps-4-and-5-inset-maps-for-blaby-town-centre-and-glenfield-district-centre.pdf,https://www.blaby.gov.uk/planning-and-building/local-plan/local-plan-delivery-dpd/,200,application/pdf,,blaby-district-council-local-plan-2019
,,blackburn-with-darwen-borough-council-local-plan-2021-3,Blackburn with Darwen Local Plan 2021 to 2037 Policies Map Darwen Section,policies-map,pdf,https://blackburn-darwen.org.uk/wp-content/uploads/Local-Plan-Policies-Map-Darwen-Section-1.pdf,https://www.blackburn.gov.uk/planning/planning-policies-strategies-and-guides/local-plan-2021-2037,200,application/pdf,,blackburn-with-darwen-borough-council-local-plan-2021
,,blaby-district-council-local-plan-2019-1,Local Plan Delivery Document,local-plan,pdf,https://www.blaby.gov.uk/media/15ebnxns/blaby-district-adoped-local-plan.pdf,https://www.blaby.gov.uk/planning-and-building/local-plan/local-plan-delivery-dpd/,200,application/pdf,,blaby-district-council-local-plan-2019
,,blackburn-with-darwen-borough-council-local-plan-2021-6,Blackburn with Darwen Local Plan 2021 to 2037 Policies Map - Darwen Town Centre Inset Map,policies-map,pdf,https://blackburn-darwen.org.uk/wp-content/uploads/Darwen-TC-Inset-Map.pdf,https://www.blackburn.gov.uk/planning/planning-policies-strategies-and-guides/local-plan-2021-2037,200,application/pdf,,blackburn-with-darwen-borough-council-local-plan-2021
,,bolton-metropolitan-borough-council-local-plan-2011-3,Places for Everyone Joint Development Plan,local-plan,pdf,https://www.greatermanchester-ca.gov.uk/media/9578/places-for-everyone-joint-development-plan-document.pdf,https://www.bolton.gov.uk/planning-policy-strategy/core-strategy/1,200,application/pdf,,bolton-metropolitan-borough-council-local-plan-2011
,,bolton-metropolitan-borough-council-local-plan-2011-6,Inspectors Report,inspectors-report,pdf,https://www.bolton.gov.uk/downloads/file/667/inspectors-report,https://www.bolton.gov.uk/planning-policy-strategy/core-strategy/1,200,application/pdf,,bolton-metropolitan-borough-council-local-plan-2011
,,bolton-metropolitan-borough-council-local-plan-2011-7,Official Adoption Statement,adoption-statement,pdf,https://www.bolton.gov.uk/downloads/file/668/official-adoption-statement,https://www.bolton.gov.uk/planning-policy-strategy/core-strategy/1,200,application/pdf,,bolton-metropolitan-borough-council-local-plan-2011
,,bolsover-district-council-local-plan-2022-1,Local Development Scheme No7,local-development-scheme,html,,https://www.bolsover.gov.uk/index.php?option=com_content&view=category&id=233,403,text/html,,bolsover-district-council-local-plan-2022
,,bolton-metropolitan-borough-council-local-plan-2011-2,Core Strategy,core-strategy,pdf,https://www.bolton.gov.uk/downloads/file/666/core-strategy,https://www.bolton.gov.uk/planning-policy-strategy/core-strategy/1,200,application/pdf,,bolton-metropolitan-borough-council-local-plan-2011
,,breckland-district-council-local-plan-2023-1,Breckland Local Plan,local-plan,pdf,https://www.breckland.gov.uk/media/16659/Adopted-Breckland-Local-Plan/pdf/Appendix_4_-_Breckland_District_Council_Local_Plan.pdf?m=1704795365193,https://www.breckland.gov.uk/local-plan/adoption,200,application/pdf,,breckland-district-council-local-plan-2023
,,breckland-district-council-local-plan-2023-4,Breckland District Council Local Plan Inspectors Report,inspectors-report,pdf,https://www.breckland.gov.uk/media/14678/Appendix-1-Breckland-District-Council-Local-Plan-Inspectors-report-final/pdf/Appendix_1_Breckland_District_Council_Local_Plan_Inspectors_report_final.pdf?m=1616502703263,https://www.breckland.gov.uk/local-plan/adoption,200,application/pdf,,breckland-district-council-local-plan-2023
,,brentwood-borough-council-local-plan-2016-3,Policies Map,policies-map,pdf,https://www.brentwood.gov.uk/sites/default/files/documents/20124/533660/Policies+Map+(23.3MB).pdf,https://www.brentwood.gov.uk/adopted-local-plan,200,application/pdf,,brentwood-borough-council-local-plan-2016
,,brentwood-borough-council-local-plan-2016-5,Sustainability Appraisal Adoption Statement,sustainability-appraisal,pdf,https://www.brentwood.gov.uk/sites/default/files/documents/20124/533660/Sustainability+Appraisal+Adoption+Statement.pdf,https://www.brentwood.gov.uk/adopted-local-plan,200,application/pdf,,brentwood-borough-council-local-plan-2016
,,brentwood-borough-council-local-plan-2016-4,Local Plan Adoption Statement,local-plan,pdf,https://www.brentwood.gov.uk/sites/default/files/documents/20124/533660/Local+Plan+Adoption+Statement.pdf,https://www.brentwood.gov.uk/adopted-local-plan,200,application/pdf,,brentwood-borough-council-local-plan-2016
,,brentwood-borough-council-local-plan-2016-2,Brentwood Local Plan 2016-2033,local-plan,pdf,https://www.brentwood.gov.uk/sites/default/files/documents/20124/533660/Brentwood+Local+Plan+2016-2033+Adopted+March+2022.pdf,https://www.brentwood.gov.uk/adopted-local-plan,200,application/pdf,,brentwood-borough-council-local-plan-2016
,,city-plan-part-2,City Plan Part 2,local-plan,pdf,https://www.brighton-hove.gov.uk/sites/default/files/2022-10/CPP2%20Adoption%20Version%20October%202022%20DIGITAL%20version_0.pdf,https://www.brighton-hove.gov.uk/planning/city-plan-part-two/adopted-city-plan-part-two,200,application/pdf,,brighton-and-hove-city-plan-part-one
,,braintree-district-local-plan-2033,Braintree District Local Plan 2033,local-plan,pdf,https://www.braintree.gov.uk/downloads/file/3553/local-plan-2033-s1-and-s2-pdf-minus-maps,https://www.braintree.gov.uk/planning-building-control/local-plan-2033,200,application/pdf,,braintree-district-council-local-plan-2014
,,brighton-hove-city-council-s-development-plan,City Plan Part 1,local-plan,pdf,https://www.brighton-hove.gov.uk/sites/default/files/migrated/article/inline/FINAL%20version%20cityplan%20March%202016compreswith%20forward_0.pdf,https://www.brighton-hove.gov.uk/planning/planning-policy/city-plan-part-one,403,text/html,,brighton-and-hove-city-plan-part-one
,,adopted-policies-map-east,Adopted Policies Map - East,policies-map,pdf,https://www.brighton-hove.gov.uk/sites/default/files/2023-03/CPP2%20East%20Area%20map%20PDF%20March%202023.pdf,https://www.brighton-hove.gov.uk/planning/city-plan-part-two/adopted-policies-map,403,text/html,,brighton-and-hove-city-plan-part-one
,,draft-local-plan-full-update-preferred-options-june-2024,Draft Local Plan Full Update Preferred Options June 2024,local-plan;local-plan-review,pdf,https://www.breckland.gov.uk/media/21601/Regulation-18-Preferred-Options-Local-Plan-Full-Update-June-2024/pdf/Regulation_18_Preferred_Options_Local_Plan_Full_Update_June_2024.pdf?m=1732610181683,https://www.breckland.gov.uk/article/19942/Local-Plan-Full-Update-2024,200,application/pdf,,local-plan-full-update-2024
,,policies-map-west-brighton-and-hove-city-plan-part-one,Policies Map - West,policies-map,pdf,https://www.brighton-hove.gov.uk/sites/default/files/2023-03/CPP2%20West%20Area%20map%20PDF%20March%202023.pdf,https://www.brighton-hove.gov.uk/sites/default/files/2023-03/CPP2%20East%20Area%20map%20PDF%20March%202023.pdf,403,text/html,,brighton-and-hove-city-plan-part-one
,,policies-map-central,Policies Map - Central,policies-map,pdf,https://www.brighton-hove.gov.uk/sites/default/files/2023-11/CPP2%20Central%20Area%20map%20PDF%20March%202023%20%281%29.pdf,https://www.brighton-hove.gov.uk/planning/city-plan-part-two/adopted-policies-map,403,text/html,,brighton-and-hove-city-plan-part-one
,,bracknell-forest-local-plan-2020-2037,Bracknell Forest Local Plan 2020-2037,local-plan,html,,https://www.bracknell-forest.gov.uk/planning-and-building-control/planning/planning-policy/development-plan/bracknell-forest-local-plan/about-bracknell-forest-local-plan,200,text/html,,bracknell-forest-local-plan
,,policies-map-1-binfield,Policies map 1 - Binfield,policies-map,html,,https://www.bracknell-forest.gov.uk/planning-and-building-control/planning/planning-policy/development-plan/bracknell-forest-policies-map,200,text/html,,bracknell-forest-local-plan
,,south-east-lincolnshire-local-plan-2011-2036,South East Lincolnshire Local Plan 2011-2036,local-plan,pdf,https://southeastlincslocalplan.org/media/21941/South-East-Lincolnshire-Local-Plan-2011-2036/pdf/Local-Plan-text-March-2019.pdf?m=1720710748483,https://southeastlincslocalplan.org/article/20102/Adopted-Plan,403,text/html,,south-east-lincs-local-plan
,,policies-map-south-east-lincs-local-plan,Policies map,policies-map,pdf,https://southeastlincslocalplan.org/media/21942/Policies-map/pdf/0-Policies-Map.pdf?m=1720710748117,https://southeastlincslocalplan.org/article/20102/Adopted-Plan,403,text/html,,south-east-lincs-local-plan
,,core-strategy,Core Strategy,core-strategy;local-plan,html,,https://www.west-norfolk.gov.uk/homepage/23/current_local_plan,200,text/html,,borough-council-of-king-s-lynn-and-west-norfolk-local-plan-review
,,site-allocations-development-management-policies-sadmp-plan,Site Allocations & Development Management Policies (SADMP) Plan,local-plan;site-allocations,html,,https://www.west-norfolk.gov.uk/info/20220/site_allocations_and_development_management_policies_plan/514/adopted_plan,200,text/html,,borough-council-of-king-s-lynn-and-west-norfolk-local-plan-review
,,boltons-allocations-plan,Bolton’s Allocations Plan,local-plan;site-allocations,pdf,https://www.bolton.gov.uk/downloads/file/671/allocations-plan-written-statement,https://www.bolton.gov.uk/planning-policy-strategy/allocations-plan/1,200,application/pdf,,bolton-metropolitan-borough-council-local-plan-2011
,,https-www-bolsover-gov-uk-index-php-option-com-content-view-article-id-90,https://www.bolsover.gov.uk/index.php?option=com_content&view=article&id=90,local-plan,html,,https://www.bolsover.gov.uk/index.php?option=com_content&view=article&id=90,403,text/html,,bolsover-district-council-local-plan-2022
,,blackpool-local-plan-2012-2027-policies-map-town-centre-inset,Blackpool Local Plan 2012-2027 Policies Map: Town Centre Inset,policies-map,pdf,https://www.blackpool.gov.uk/Residents/Planning-environment-and-community/Documents/Local-Plan-Adopted-Policies-Map-2012-27-Town-Centre.pdf,https://www.blackpool.gov.uk/Residents/Planning-environment-and-community/Planning/Planning-policy/Blackpool-local-plan/Core-strategy.aspx,200,application/pdf,,blackpool-borough-council-core-strategy
,,part-1-core-strategy-2012-2027,Part 1: Core Strategy (2012 – 2027),core-strategy;local-plan,pdf,https://www.blackpool.gov.uk/Residents/Planning-environment-and-community/Documents/J118003-107575-2016-updated-17-Feb-2016-High-Res.pdf,https://www.blackpool.gov.uk/Residents/Planning-environment-and-community/Planning/Planning-policy/Blackpool-local-plan/Core-strategy.aspx,200,application/pdf,,blackpool-borough-council-core-strategy
,,blackpool-local-plan-2012-2027-policies-map-blackpool-borough,Blackpool Local Plan 2012-2027 Policies Map: Blackpool Borough,policies-map,pdf,https://www.blackpool.gov.uk/Residents/Planning-environment-and-community/Documents/Local-plan-2021/Local-Plan-Adopted-Policies-Map-2012-27-Blackpool.pdf,https://www.blackpool.gov.uk/Residents/Planning-environment-and-community/Planning/Planning-policy/Blackpool-local-plan/Core-strategy.aspx,200,application/pdf,,blackpool-borough-council-core-strategy
,,blackburn-with-darwen-borough-council-local-plan-2021-5,Blackburn with Darwen Local Plan 2021 to 2037 Policies Map - Blackburn Town Centre Inset Map,policies-map,pdf,https://blackburn-darwen.org.uk/wp-content/uploads/Blackburn-TC-Inset-Map.pdf,https://www.blackburn.gov.uk/planning/planning-policies-strategies-and-guides/local-plan-2021-2037,200,application/pdf,,blackburn-with-darwen-borough-council-local-plan-2021
,,site-allocations-and-development-management-policies,Site Allocations and Development Management Policies,local-plan;site-allocations,pdf,https://www.blackpool.gov.uk/Residents/Planning-environment-and-community/Documents/LPP2-Adoption-Final-Feb-23.pdf,https://www.blackpool.gov.uk/Residents/Planning-environment-and-community/Planning/Planning-policy/Blackpool-local-plan/Site-allocations-and-development-management-policies.aspx,200,application/pdf,,blackpool-borough-council-core-strategy
