lpa_curie,lpa_name,doc_reference,doc_name,doc_types,file_kind,final_url,landing_url,status,content_type,entry_date,local_plan
,,east-lindsey-core-strategy-and-settlement-proposals-dpd-report-mm-appendix-b-final,East Lindsey Core Strategy and Settlement Proposals DPD Report - MM Appendix B - Final,inspectors-report,pdf,https://www.e-lindsey.gov.uk/media/9023/East-Lindsey-Core-Strategy-and-Settlement-Proposals-DPD-Report-MM-Appendix-B-Final/pdf/East_Lindsey_Core_Strategy_and_Settlement_Proposals_DPD_Report_-_MM_Appendix_B_-_Final.pdf?m=1525354391413,https://www.e-lindsey.gov.uk/article/8455/Inspectors-Report,403,text/html,,east-lindsey-district-council-local-plan-2018
,,east-lindsey-district-council-local-plan-2018-1,Core Strategy,core-strategy,pdf,https://www.e-lindsey.gov.uk/media/9791/Core-Strategy/pdf/Final_Version_of_Core_Strategy_2018.pdf?m=1546595473230,https://www.e-lindsey.gov.uk/article/8934/Adopted-Local-Plan-2018,403,text/html,,east-lindsey-district-council-local-plan-2018
,,east-lindsey-district-council-local-plan-2018-10,CD102 Addendum to the Sustainability Appraisal of the East Lindsey Core Strategy,sustainability-appraisal,pdf,https://www.e-lindsey.gov.uk/media/5985/CD102-Addendum-to-the-Sustainability-Appraisal-of-the-East-Lindsey-Core-Strategy/pdf/CD102_Addendum_to_the_Sustainability_Appraisal_of_the_East_Lindsey_Core_Strategy.pdf?m=1505729487247,https://www.e-lindsey.gov.uk/article/8934/Adopted-Local-Plan-2018,403,text/html,,east-lindsey-district-council-local-plan-2018
,,east-lindsey-district-council-local-plan-2018-11,CD102 East Lindsey Settlement Proposals Sustainability Appraisal November 2016 with Non Technical Summary,sustainability-appraisal,pdf,https://www.e-lindsey.gov.uk/media/5989/CD102-East-Lindsey-Settlement-Proposals-Sustainability-Appraisal-November-2016-with-Non-Technical-Summary/pdf/CD102_East_Lindsey_Settlement_Proposals_Sustainability_Appraisal_November_2016_with_Non_Technical_Su.pdf?m=1505729489143,https://www.e-lindsey.gov.uk/article/8934/Adopted-Local-Plan-2018,403,text/html,,east-lindsey-district-council-local-plan-2018
,,east-lindsey-district-council-local-plan-2018-12,CD102 Appendix 1 - Settlement Proposals Site Assessment Forms,,pdf,https://www.e-lindsey.gov.uk/media/5990/CD102-Appendix-1-Settlement-Proposals-Site-Assessment-Forms/pdf/CD102_Appendix_1_-_Settlement_Proposals_Site_Assessment_Forms.pdf?m=1505729489720,https://www.e-lindsey.gov.uk/article/8934/Adopted-Local-Plan-2018,403,text/html,,east-lindsey-district-council-local-plan-2018
,,east-lindsey-district-council-local-plan-2018-13,"CD102 Appendix 2 - Cumulative, Synergistic and Indirect Effects Table",,pdf,https://www.e-lindsey.gov.uk/media/5991/CD102-Appendix-2-Cumulative-Synergistic-and-Indirect-Effects-Table/pdf/CD102_Appendix_2_-_Cumulative__Synergistic_and_Indirect_Effects_Table.pdf?m=1505729490323,https://www.e-lindsey.gov.uk/article/8934/Adopted-Local-Plan-2018,403,text/html,,east-lindsey-district-council-local-plan-2018
,,east-lindsey-district-council-local-plan-2018-14,CD102 Appendix 3 - Gypsy and Traveller Sites,,pdf,https://www.e-lindsey.gov.uk/media/6248/CD102-Appendix-3-Gypsy-and-Traveller-Sites/pdf/CD102_Appendix_3_-_Gypsy_and_Traveller_Sites.pdf?m=1506598402013,https://www.e-lindsey.gov.uk/article/8934/Adopted-Local-Plan-2018,403,text/html,,east-lindsey-district-council-local-plan-2018
,,east-lindsey-district-council-local-plan-2018-15,Additional Modifications,,pdf,https://www.e-lindsey.gov.uk/media/9939/Additional-Modifications/pdf/Additional_Modifications.pdf?m=1533116019953,https://www.e-lindsey.gov.uk/article/8934/Adopted-Local-Plan-2018,403,text/html,,east-lindsey-district-council-local-plan-2018
,,east-lindsey-district-council-local-plan-2018-16,Schedule of Proposed Main Modifications to the Core Strategy Draft Local Plan (2017),,pdf,https://www.e-lindsey.gov.uk/media/7732/Schedule-of-Proposed-Main-Modifications-to-the-Core-Strategy-Draft-Local-Plan-2017-ED056/pdf/ED056_Main_Mods_table_Core_Strategy_Version_5.pdf?m=1612263191610,https://www.e-lindsey.gov.uk/article/8934/Adopted-Local-Plan-2018,403,text/html,,east-lindsey-district-council-local-plan-2018
,,east-lindsey-district-council-local-plan-2018-17,Schedule of Proposed Main Modifications to the Settlement Proposals DPD Draft Local Plan (2017),,pdf,https://www.e-lindsey.gov.uk/media/7733/Schedule-of-Proposed-Main-Modifications-to-the-Settlement-Proposals-DPD-Draft-Local-Plan-2017-ED057/pdf/ED057_Main_Mods_table_SP_DPD_Revised_Version_2018.pdf?m=1612263203067,https://www.e-lindsey.gov.uk/article/8934/Adopted-Local-Plan-2018,403,text/html,,east-lindsey-district-council-local-plan-2018
,,east-lindsey-district-council-local-plan-2018-18,Adoption Statement,adoption-statement,pdf,https://www.e-lindsey.gov.uk/media/9940/Adoption-Statement/pdf/Adoption_Statement.pdf?m=1533116020207,https://www.e-lindsey.gov.uk/article/8934/Adopted-Local-Plan-2018,403,text/html,,east-lindsey-district-council-local-plan-2018
,,east-lindsey-district-council-local-plan-2018-2,East Lindsey Settlement Proposals Development Plan Document,local-plan,pdf,https://www.e-lindsey.gov.uk/media/15269/Adopted-Settlement-Proposals/pdf/AdoptedSettlementProposalsDocument.pdf?m=1579873492493,https://www.e-lindsey.gov.uk/article/8934/Adopted-Local-Plan-2018,403,text/html,,east-lindsey-district-council-local-plan-2018
,,east-lindsey-district-council-local-plan-2018-3,Settlement Proposals Pt1 Alford to Legbourne,site-allocations,pdf,https://www.e-lindsey.gov.uk/media/9792/Settlement-Proposals-Pt1-Alford-to-Legbourne/pdf/Settlement_Proposals_Pt1_Alford_to_Legbourne.pdf?m=1532335698627,https://www.e-lindsey.gov.uk/article/8934/Adopted-Local-Plan-2018,403,text/html,,east-lindsey-district-council-local-plan-2018
,,east-lindsey-district-council-local-plan-2018-4,Settlement Proposals Pt2 Louth to Wragby,site-allocations,pdf,https://www.e-lindsey.gov.uk/media/9793/Settlement-Proposals-Pt2-Louth-to-Wragby/pdf/Settlement_Proposals_Pt2_Louth_to_Wragby.pdf?m=1532335699247,https://www.e-lindsey.gov.uk/article/8934/Adopted-Local-Plan-2018,403,text/html,,east-lindsey-district-council-local-plan-2018
,,east-lindsey-district-council-local-plan-2018-5,Settlement Proposals Pt3 Coastal Settlements,site-allocations,pdf,https://www.e-lindsey.gov.uk/media/9794/Settlement-Proposals-Pt3-Coastal-Settlements/pdf/Settlement_Proposals_Pt3_Coastal_Settlements.pdf?m=1532335699927,https://www.e-lindsey.gov.uk/article/8934/Adopted-Local-Plan-2018,403,text/html,,east-lindsey-district-council-local-plan-2018
,,east-lindsey-district-council-local-plan-2018-6,Single Plot Exceptions - Feb 17,site-allocations,pdf,https://www.e-lindsey.gov.uk/media/10163/Single-Plot-Exceptions-Feb-17/pdf/Single_Plot_Brochure_A4_amendments_2017_v3_correct1.pdf?m=1546595439477,https://www.e-lindsey.gov.uk/article/8934/Adopted-Local-Plan-2018,403,text/html,,east-lindsey-district-council-local-plan-2018
